field,cameras,angle_deg,current_snap,discarded_deg,mod90,flip_band,multicam_cardinal_conflict,axis1_2d_len,det2d
bccent12,1,-5.26,0.0,5.26,5.26,False,False,0.2376,-0.995
bccent15,1,-7.6,0.0,7.6,7.6,False,False,0.0855,-1.0
bccent1a,1,-7.6,0.0,7.6,7.6,False,False,0.0855,-1.0
bccent_1,1,-7.6,0.0,7.6,7.6,False,False,0.0855,-1.0
bcform1a,1,19.69,0.0,19.69,19.69,False,False,0.0452,1.0
bcform_1,1,19.69,0.0,19.69,19.69,False,False,0.0452,1.0
bcgate1a,1,-32.67,0.0,32.67,32.67,True,False,0.4488,-1.0
bcgate_1,1,-32.67,0.0,32.67,32.67,True,False,0.4488,-1.0
bchtl1a,1,-0.39,0.0,0.39,0.39,False,False,0.2759,1.0
bchtl_1,1,-0.39,0.0,0.39,0.39,False,False,0.2759,1.0
bchtr1a,1,-67.22,-90.0,22.78,67.22,False,False,0.1676,-1.0
bchtr_1,1,-67.22,-90.0,22.78,67.22,False,False,0.1676,-1.0
bcmin11a,1,8.2,0.0,8.2,8.2,False,False,0.1445,-1.0
bcmin1_1,1,8.2,0.0,8.2,8.2,False,False,0.1445,-1.0
bcmin21a,1,10.24,0.0,10.24,10.24,False,False,0.1386,-1.0
bcmin22a,1,26.03,0.0,26.03,26.03,False,False,0.1529,-1.0
bcmin23a,1,-0.06,0.0,0.06,0.06,False,False,0.792,-1.0
bcmin2_1,1,10.24,0.0,10.24,10.24,False,False,0.1386,-1.0
bcmin2_2,1,26.03,0.0,26.03,26.03,False,False,0.1529,-1.0
bcmin2_3,1,-0.06,0.0,0.06,0.06,False,False,0.792,-1.0
bcport1a,1,3.47,0.0,3.47,3.47,False,False,0.1291,-1.0
bcport1b,1,3.47,0.0,3.47,3.47,False,False,0.1291,-1.0
bcport2a,1,6.77,0.0,6.77,6.77,False,False,0.1809,-1.0
bcport_1,1,3.47,0.0,3.47,3.47,False,False,0.1291,-1.0
bcport_2,1,6.77,0.0,6.77,6.77,False,False,0.1809,-1.0
bcsaka1a,1,-1.61,0.0,1.61,1.61,False,False,0.4931,-1.0
bcsaka_1,1,-1.61,0.0,1.61,1.61,False,False,0.4931,-1.0
bcsta1a,1,-23.21,0.0,23.21,23.21,False,False,0.2112,1.0
bcsta_1,1,-23.21,0.0,23.21,23.21,False,False,0.2112,1.0
bdenter1,1,2.28,0.0,2.28,2.28,False,False,0.1297,-1.0
bdifrit1,1,0.0,0.0,0.0,0.0,False,False,0.0896,-1.0
bdin1,1,-0.73,0.0,0.73,0.73,False,False,0.8961,-1.0
